Файл отчёта log_100 Servo Bench
Дата: 2025-02-19 22:54:46.7436493 GMT+3

Время	Температура	Ток	Напряжение	

5,068011	20	3	9
5,068011	20	3	9
5,068011	20	3	9
5,068011	20	3	9
5,068011	20	3	9
5,068011	20	3	9
5,068011	20	3	9
5,068011	20	3	9
5,068011	20	3	9
5,068011	20	3	9
5,068011	20	3	9
5,075737	20	3	9
5,075737	20	3	9
5,075737	20	3	9
5,075737	20	3	9
5,075737	20	3	9
5,075737	20	3	9
5,075737	20	3	9
5,075737	20	3	9
5,075737	20	3	9
5,075737	20	3	9
5,075737	20	3	9
5,075737	20	3	9
5,082422	20	3	9
5,082422	20	3	9
5,082422	20	3	9
5,082422	20	3	9
5,082422	20	3	9
5,082422	20	3	9
5,082422	20	3	9
5,082422	20	3	9
5,082422	20	3	9
5,082422	20	3	9
5,082422	20	3	9
5,089404	20	3	9
5,089404	20	3	9
5,089404	20	3	9
5,089404	20	3	9
5,089404	20	3	9
5,089404	20	3	9
5,089404	20	3	9
5,089404	20	3	9
5,089404	20	3	9
5,089404	20	3	9
5,089404	20	3	9
5,103177	20	3	9
5,207119	20	3	9
5,304172	22	3	9
5,401423	22	3	9
5,505469	21	3	9
5,603137	21	3	9
5,706861	21	3	9
5,804381	22	3	9
5,901359	20	3	9
6,005877	21	3	9
6,102577	21	3	15
6,200158	20	3	15
6,303959	20	3	15
6,401688	22	3	15
6,505317	20	3	15
6,603216	22	3	15
6,700039	22	3	15
6,804339	21	3	15
6,901419	21	3	15
7,005920	21	3	15
7,102511	20	4	10
7,207013	21	4	10
7,303917	21	4	10
7,401105	20	4	10
7,505159	22	4	10
7,603694	20	4	10
7,706629	21	4	10
7,803817	21	4	10
7,901026	20	4	10
8,005361	20	4	10
8,103009	22	2	11
8,200234	20	2	11
8,304296	21	2	11
8,400866	20	2	11
8,505823	22	2	11
8,602607	22	2	11
8,706501	20	2	11
8,803905	20	2	11
8,901159	21	2	11
9,005280	22	2	11
9,102987	21	4	13
9,206794	21	4	13
9,303720	20	4	13
9,401129	22	4	13
9,505248	20	4	13
9,602439	20	4	13
9,700006	21	4	13
9,803549	20	4	13
9,901773	21	4	13
10,005392	20	4	13
10,102550	21	2	14
10,206430	21	2	14
10,303955	20	2	14
10,401896	20	2	14
10,506607	22	2	14
10,603383	21	2	14
10,700397	20	2	14
10,804335	20	2	14
10,901412	20	2	14
11,005919	21	2	14
11,103977	22	3	21
11,200901	22	3	21
11,305611	20	3	21
11,401110	20	3	21
11,505352	20	3	21
11,602320	20	3	21
11,700608	22	3	21
11,803644	20	3	21
11,900208	20	3	21
12,004477	22	3	21
12,101689	21	3	21
12,206009	22	4	14
12,303043	22	4	14
12,400354	22	4	14
12,504412	21	4	14
12,601550	20	4	14
12,705750	21	4	14
12,803149	22	4	14
12,900161	20	4	14
13,004397	20	4	14
13,101547	21	4	14
13,206014	21	1	8
13,303109	20	1	8
13,400294	20	1	8
13,504236	22	1	8
13,601566	21	1	8
13,705685	21	1	8
13,803177	20	1	8
13,900049	21	1	8
14,004587	22	1	8
14,102332	22	1	8
14,206543	20	3	11
14,302817	21	3	11
14,400192	21	3	11
14,504325	21	3	11
14,601418	21	3	11
14,705539	21	3	11
14,802767	22	3	11
14,906822	20	3	11
15,004117	22	3	11
15,101365	21	3	11
15,205447	22	4	15
15,303400	21	4	15
15,406830	21	4	15
15,504067	21	4	15
15,601296	21	4	15
15,705571	21	4	15
